NOME,FASE_2020,FASE_2021,FASE_2022,PEDRA_2020,PEDRA_2021,PEDRA_2022,PONTO_VIRADA_2020,PONTO_VIRADA_2021,PONTO_VIRADA_2022,ANO_INGRESSO_2020,ANO_INGRESSO_2021,ANO_INGRESSO_2022,IAN_2020,IAN_2021,IAN_2022,IDA_2020,IDA_2021,IDA_2022,IEG_2020,IEG_2021,IEG_2022,IAA_2020,IAA_2021,IAA_2022,IPS_2020,IPS_2021,IPS_2022,IPP_2020,IPP_2021,IPP_2022,IPV_2020,IPV_2021,IPV_2022,INDE_2020,INDE_2021,INDE_2022
ALUNO-71,0,0.0,,Ametista,#NULO!,,0.0,0.0,,2019.0,2019.0,,5.0,5.0,,9.5,3.6,,10.0,0.0,,8.500020000000001,7.4,,5.0,5.0,,2.5,0.0,,7.749995,0.0,,7.550001,,
ALUNO-75,3,4.0,5.0,Topázio,Topázio,Topázio,1.0,1.0,1.0,2019.0,2019.0,2019.0,10.0,10.0,10.0,9.0,8.5,8.5,10.0,9.2,9.660714285714286,10.00002,10.0,10.00002,10.0,7.5,9.375,9.375,8.8,9.21875,9.75001,9.7,9.75001,9.687504,9.108,9.441521857142858
ALUNO-76,0,1.0,1.0,Topázio,Topázio,Topázio,0.0,1.0,0.0,2020.0,2020.0,2020.0,10.0,10.0,10.0,10.0,7.6,7.166666666666666,10.0,10.0,9.419753086419751,8.91668,10.0,10.00002,10.0,7.5,7.5,7.5,7.5,5.833333333333334,6.58333,9.2,8.27778,8.958334,8.869,8.306175283950617
ALUNO-78,1,1.0,1.0,Ametista,Ágata,Ametista,0.0,0.0,0.0,2017.0,2021.0,2017.0,5.0,5.0,5.0,5.5,2.6,7.666666666666666,9.0,9.2,9.480259870064968,9.50002,8.9,6.91668,7.5,7.5,7.5,7.1875,7.3,6.666666666666666,7.666665,5.6,7.833336666666667,7.352085,6.339,7.604387307346327
ALUNO-80,2,,2.0,Ágata,,Ágata,0.0,,0.0,2019.0,,2022.0,10.0,,5.0,0.0,,4.25,9.2,,9.296296296296296,6.91668,,6.83334,7.5,,5.625,7.291666666666667,,6.25,7.444443333333333,,7.5,6.499723333333334,,6.580093259259259
ALUNO-81,4,5.0,6.0,Ametista,Ágata,Ametista,1.0,0.0,1.0,2019.0,2019.0,2019.0,5.0,5.0,5.0,6.0,6.5,6.655555555555555,8.8,5.8,7.402950310559007,5.41667,6.3,8.33334,7.5,2.5,8.125,8.125,8.1,7.5,9.11112,7.7,8.833336666666666,7.386391000000001,6.188,7.474202506556246
ALUNO-82,0,,,Ametista,,,0.0,,,2020.0,,,5.0,,,8.5,,,10.0,,,8.500020000000001,,,7.5,,,6.875,,,7.333335,,,7.954169,,
ALUNO-83,4,5.0,5.0,Ametista,Ágata,Ametista,1.0,0.0,0.0,2016.0,2016.0,2016.0,10.0,10.0,5.0,5.333333333333333,3.0,6.8,9.4,6.4,7.819047619047619,9.16668,6.7,7.91667,5.625,3.8,7.5,8.958333333333332,7.3,6.875,9.166676666666666,6.7,7.750005,8.155003333333333,5.987,7.202977523809524
ALUNO-84,0,1.0,1.0,Topázio,Ametista,Ametista,0.0,0.0,1.0,2020.0,2021.0,2021.0,10.0,10.0,5.0,8.5,6.8,6.25,10.0,10.0,8.838383838383837,9.000020000000001,3.5,9.000020000000001,10.0,7.5,7.5,7.5,7.5,6.458333333333334,6.999995,8.3,8.444446666666666,8.750001000000001,7.867,7.502401434343434
ALUNO-85,0,0.0,1.0,Ágata,Ágata,Ametista,0.0,0.0,1.0,2019.0,2019.0,2019.0,5.0,5.0,5.0,10.0,6.9,7.583333333333333,9.9,6.7,9.743589743589745,9.50002,9.5,9.50002,2.5,6.3,5.0,2.5,4.7,5.625,6.66666,7.0,8.833335,7.263334,6.652,7.744553615384616
