NOME,FASE_2020,FASE_2021,FASE_2022,PEDRA_2020,PEDRA_2021,PEDRA_2022,PONTO_VIRADA_2020,PONTO_VIRADA_2021,PONTO_VIRADA_2022,ANO_INGRESSO,dimensao_academica,dimensao_psicossocial,dimensao_psicopedagogica,ATIVO
ALUNO-86,6.0,6.0,6.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2019.0,abaixo da media,excelente,excelente,0
ALUNO-87,4.0,5.0,5.0,Ametista,Ametista,Ágata,1.0,0.0,0.0,2016.0,excelente,excelente,excelente,1
ALUNO-88,2.0,2.0,3.0,Topázio,Ametista,Topázio,1.0,1.0,1.0,2018.0,excelente,excelente,excelente,1
ALUNO-89,0.0,0.0,0.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,0
ALUNO-90,3.0,4.0,5.0,Ágata,Ágata,Quartzo,0.0,0.0,0.0,2019.0,abaixo da media,excelente,excelente,1
ALUNO-91,2.0,2.0,2.0,Ágata,Quartzo,Ametista,0.0,0.0,0.0,2018.0,abaixo da media,excelente,abaixo da media,1
ALUNO-94,3.0,4.0,4.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,0
ALUNO-95,3.0,4.0,4.0,Ametista,Quartzo,Quartzo,0.0,0.0,0.0,2019.0,abaixo da media,excelente,excelente,0
ALUNO-96,7.0,7.0,7.0,Ágata,Ágata,Ágata,1.0,1.0,1.0,2019.0,abaixo da media,excelente,excelente,0
ALUNO-97,2.0,2.0,3.0,Ametista,Ágata,Ametista,0.0,0.0,0.0,2018.0,excelente,excelente,excelente,1
ALUNO-100,1.0,1.0,2.0,Ágata,Quartzo,Ágata,0.0,0.0,0.0,2018.0,abaixo da media,excelente,excelente,1
ALUNO-102,1.0,1.0,1.0,Ametista,Ágata,Ametista,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,1
ALUNO-103,0.0,1.0,1.0,Topázio,Ametista,Ametista,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,1
ALUNO-105,3.0,4.0,4.0,Topázio,Quartzo,Quartzo,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,0
ALUNO-106,0.0,1.0,1.0,Ametista,Ametista,Ametista,0.0,1.0,1.0,2020.0,excelente,excelente,excelente,0
ALUNO-111,3.0,4.0,4.0,Ágata,Ametista,Ametista,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,0
ALUNO-112,3.0,4.0,4.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2018.0,abaixo da media,excelente,excelente,0
ALUNO-113,1.0,2.0,3.0,Ametista,Ágata,Ágata,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-115,4.0,4.0,4.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2019.0,abaixo da media,excelente,excelente,0
ALUNO-117,1.0,2.0,2.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,0
ALUNO-118,1.0,1.0,1.0,Ametista,Topázio,Topázio,0.0,0.0,1.0,2019.0,excelente,excelente,excelente,1
ALUNO-120,0.0,1.0,1.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,0
ALUNO-125,1.0,2.0,2.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,0
ALUNO-128,0.0,0.0,0.0,Quartzo,Quartzo,Ágata,0.0,0.0,0.0,2019.0,excelente,excelente,abaixo da media,1
ALUNO-132,4.0,4.0,4.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2017.0,excelente,excelente,excelente,0
ALUNO-133,0.0,1.0,1.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-135,1.0,1.0,1.0,Ametista,Ágata,Quartzo,0.0,0.0,0.0,2019.0,abaixo da media,excelente,excelente,1
ALUNO-136,5.0,5.0,5.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2018.0,abaixo da media,abaixo da media,excelente,0
ALUNO-139,5.0,5.0,5.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2020.0,abaixo da media,excelente,excelente,0
ALUNO-145,7.0,7.0,7.0,Ametista,Ametista,Ametista,1.0,1.0,1.0,2019.0,excelente,excelente,excelente,0
ALUNO-146,1.0,1.0,1.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2018.0,abaixo da media,excelente,excelente,0
ALUNO-147,2.0,2.0,2.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2019.0,abaixo da media,excelente,excelente,0
ALUNO-149,6.0,7.0,7.0,Ágata,Topázio,Topázio,0.0,1.0,1.0,2019.0,excelente,excelente,excelente,0
ALUNO-151,1.0,2.0,3.0,Ametista,Topázio,Topázio,0.0,1.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-152,3.0,3.0,4.0,Ametista,Topázio,Ametista,0.0,1.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-153,4.0,4.0,5.0,Ametista,Topázio,Topázio,1.0,1.0,1.0,2017.0,excelente,excelente,excelente,1
ALUNO-154,1.0,1.0,1.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2019.0,abaixo da media,excelente,excelente,1
ALUNO-156,2.0,3.0,4.0,Ágata,Ametista,Ametista,0.0,0.0,0.0,2018.0,excelente,excelente,excelente,1
ALUNO-157,1.0,1.0,1.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,0
ALUNO-158,3.0,4.0,4.0,Quartzo,Ágata,Quartzo,0.0,0.0,0.0,2018.0,abaixo da media,excelente,excelente,1
ALUNO-160,1.0,1.0,1.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2018.0,abaixo da media,excelente,excelente,0
ALUNO-161,8.0,8.0,8.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2016.0,excelente,excelente,abaixo da media,0
ALUNO-162,1.0,1.0,1.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2018.0,excelente,excelente,excelente,0
ALUNO-163,1.0,1.0,1.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2017.0,excelente,excelente,abaixo da media,0
ALUNO-164,1.0,2.0,2.0,Ametista,Ametista,Ágata,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-165,0.0,1.0,1.0,Ametista,Ametista,Topázio,0.0,0.0,1.0,2019.0,excelente,excelente,excelente,1
ALUNO-168,1.0,2.0,2.0,Ametista,Quartzo,Ágata,0.0,0.0,0.0,2019.0,abaixo da media,excelente,excelente,1
ALUNO-169,0.0,0.0,0.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2020.0,excelente,excelente,abaixo da media,1
ALUNO-173,5.0,5.0,5.0,Quartzo,Ágata,Ágata,0.0,0.0,0.0,2016.0,abaixo da media,excelente,excelente,0
ALUNO-174,5.0,5.0,5.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2017.0,excelente,excelente,abaixo da media,0
ALUNO-183,0.0,0.0,0.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2018.0,excelente,excelente,abaixo da media,0
ALUNO-184,1.0,2.0,2.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2018.0,excelente,excelente,excelente,0
ALUNO-186,3.0,3.0,3.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2020.0,abaixo da media,excelente,excelente,0
ALUNO-187,2.0,2.0,2.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2020.0,abaixo da media,excelente,excelente,0
ALUNO-188,3.0,3.0,3.0,Ametista,Ágata,Ágata,1.0,0.0,0.0,2018.0,excelente,excelente,excelente,0
ALUNO-189,1.0,1.0,1.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,0
ALUNO-190,7.0,7.0,7.0,Topázio,Topázio,Topázio,1.0,1.0,1.0,2017.0,excelente,excelente,excelente,0
ALUNO-192,1.0,1.0,2.0,Quartzo,Quartzo,Ágata,0.0,0.0,0.0,2018.0,abaixo da media,excelente,excelente,1
ALUNO-193,3.0,3.0,4.0,Topázio,Ametista,Ametista,1.0,1.0,0.0,2016.0,excelente,excelente,excelente,1
ALUNO-194,6.0,6.0,6.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2017.0,excelente,excelente,excelente,0
ALUNO-197,3.0,3.0,4.0,Topázio,Ametista,Topázio,0.0,0.0,1.0,2019.0,excelente,excelente,excelente,1
ALUNO-198,6.0,6.0,6.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2017.0,excelente,abaixo da media,excelente,0
ALUNO-199,3.0,3.0,3.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2019.0,abaixo da media,excelente,excelente,0
ALUNO-200,4.0,4.0,4.0,Ametista,Quartzo,Ágata,0.0,0.0,0.0,2016.0,excelente,excelente,excelente,1
ALUNO-201,3.0,4.0,5.0,Ametista,Ágata,Ágata,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-202,2.0,2.0,2.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2018.0,abaixo da media,abaixo da media,excelente,0
ALUNO-206,6.0,7.0,7.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2018.0,abaixo da media,abaixo da media,excelente,0
ALUNO-208,2.0,2.0,2.0,Ametista,Ágata,Ágata,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,0
ALUNO-209,0.0,1.0,1.0,Topázio,Ametista,Ametista,1.0,1.0,1.0,2019.0,excelente,excelente,excelente,0
ALUNO-210,5.0,5.0,5.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2017.0,excelente,excelente,excelente,0
ALUNO-212,0.0,0.0,0.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2019.0,excelente,excelente,abaixo da media,1
ALUNO-213,2.0,3.0,3.0,Ametista,Topázio,Topázio,0.0,0.0,0.0,2018.0,excelente,excelente,excelente,0
ALUNO-215,1.0,1.0,1.0,Topázio,Topázio,Topázio,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,0
ALUNO-216,8.0,8.0,8.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2019.0,abaixo da media,excelente,abaixo da media,0
ALUNO-217,1.0,1.0,2.0,Topázio,Ametista,Topázio,1.0,0.0,1.0,2019.0,excelente,excelente,excelente,1
ALUNO-219,2.0,2.0,2.0,Ametista,Quartzo,Quartzo,0.0,0.0,0.0,2019.0,abaixo da media,excelente,excelente,1
ALUNO-222,1.0,1.0,1.0,Topázio,Topázio,Topázio,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,0
ALUNO-223,1.0,1.0,1.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2019.0,abaixo da media,excelente,excelente,0
ALUNO-225,4.0,5.0,5.0,Topázio,Ametista,Ágata,0.0,0.0,0.0,2016.0,excelente,excelente,excelente,1
ALUNO-226,2.0,2.0,2.0,Ametista,Quartzo,Quartzo,0.0,0.0,0.0,2018.0,excelente,abaixo da media,excelente,0
ALUNO-227,3.0,3.0,3.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2020.0,abaixo da media,excelente,excelente,0
ALUNO-229,1.0,0.0,0.0,Quartzo,Quartzo,Ágata,0.0,0.0,0.0,2019.0,abaixo da media,excelente,excelente,1
ALUNO-230,3.0,3.0,3.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2016.0,abaixo da media,excelente,abaixo da media,0
ALUNO-231,6.0,7.0,7.0,Quartzo,Ametista,Ametista,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,0
ALUNO-235,3.0,3.0,4.0,Ametista,Ametista,Ágata,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-238,2.0,2.0,2.0,Ágata,Quartzo,Quartzo,0.0,0.0,0.0,2019.0,abaixo da media,excelente,abaixo da media,0
ALUNO-241,1.0,2.0,2.0,Ametista,Quartzo,Quartzo,0.0,0.0,0.0,2017.0,abaixo da media,excelente,abaixo da media,1
ALUNO-242,1.0,2.0,2.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2018.0,abaixo da media,excelente,excelente,1
ALUNO-246,1.0,1.0,1.0,Ametista,Ametista,Ágata,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-251,1.0,2.0,2.0,Topázio,Ametista,Ametista,0.0,0.0,1.0,2019.0,excelente,excelente,excelente,1
ALUNO-259,7.0,7.0,7.0,Topázio,Topázio,Topázio,1.0,1.0,1.0,2019.0,excelente,excelente,excelente,0
ALUNO-261,3.0,4.0,4.0,Ágata,Ametista,Ametista,0.0,0.0,0.0,2020.0,abaixo da media,excelente,excelente,0
ALUNO-262,5.0,6.0,7.0,Ametista,Ametista,Ametista,1.0,0.0,0.0,2017.0,excelente,excelente,excelente,1
ALUNO-263,5.0,6.0,7.0,Ametista,Ametista,Ágata,0.0,0.0,0.0,2016.0,excelente,excelente,excelente,1
ALUNO-265,4.0,4.0,4.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,0
ALUNO-266,1.0,2.0,2.0,Ametista,Ametista,Ametista,0.0,0.0,1.0,2019.0,excelente,excelente,excelente,1
ALUNO-267,3.0,4.0,4.0,Ametista,Ametista,Ametista,1.0,0.0,0.0,2018.0,excelente,excelente,excelente,1
ALUNO-269,1.0,1.0,1.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,0
ALUNO-270,3.0,3.0,3.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2017.0,excelente,abaixo da media,excelente,0
ALUNO-273,1.0,1.0,1.0,Quartzo,Quartzo,Ágata,0.0,0.0,0.0,2018.0,abaixo da media,excelente,abaixo da media,1
ALUNO-274,5.0,5.0,5.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2018.0,abaixo da media,excelente,excelente,0
ALUNO-275,3.0,3.0,4.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2017.0,abaixo da media,excelente,excelente,1
ALUNO-277,1.0,1.0,1.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2018.0,excelente,excelente,excelente,1
ALUNO-278,5.0,5.0,5.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,0
ALUNO-280,1.0,1.0,1.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2018.0,abaixo da media,excelente,excelente,0
ALUNO-284,3.0,3.0,3.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,0
ALUNO-285,2.0,2.0,2.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2020.0,abaixo da media,excelente,excelente,0
ALUNO-286,1.0,1.0,1.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,0
ALUNO-287,2.0,2.0,2.0,Ametista,Ametista,Ametista,1.0,1.0,1.0,2019.0,excelente,excelente,excelente,0
ALUNO-288,2.0,3.0,4.0,Ágata,Ametista,Topázio,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,1
ALUNO-292,4.0,4.0,6.0,Topázio,Topázio,Topázio,1.0,1.0,1.0,2019.0,excelente,excelente,excelente,1
ALUNO-293,5.0,5.0,5.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2019.0,abaixo da media,abaixo da media,abaixo da media,1
ALUNO-295,1.0,1.0,2.0,Ametista,Ágata,Ametista,0.0,0.0,0.0,2017.0,excelente,excelente,excelente,1
ALUNO-296,2.0,2.0,2.0,Ametista,Ametista,Ágata,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,1
ALUNO-297,3.0,3.0,3.0,Ágata,Quartzo,Quartzo,0.0,0.0,0.0,2019.0,abaixo da media,excelente,excelente,0
ALUNO-298,1.0,1.0,1.0,Ágata,Ágata,Quartzo,0.0,0.0,0.0,2018.0,abaixo da media,excelente,abaixo da media,1
ALUNO-299,8.0,8.0,8.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2016.0,excelente,abaixo da media,abaixo da media,0
ALUNO-300,8.0,8.0,8.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2019.0,excelente,excelente,abaixo da media,0
ALUNO-301,1.0,2.0,2.0,Topázio,Topázio,Topázio,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-305,2.0,3.0,4.0,Ametista,Ametista,Ágata,0.0,0.0,0.0,2018.0,excelente,excelente,excelente,1
ALUNO-306,7.0,7.0,7.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2019.0,abaixo da media,abaixo da media,abaixo da media,0
ALUNO-309,1.0,1.0,1.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,0
ALUNO-312,2.0,2.0,3.0,Topázio,Ametista,Ametista,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-313,0.0,0.0,1.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,1
ALUNO-315,4.0,5.0,5.0,Topázio,Topázio,Topázio,1.0,1.0,1.0,2019.0,excelente,excelente,excelente,0
ALUNO-316,2.0,2.0,3.0,Ágata,Ágata,Quartzo,0.0,0.0,0.0,2020.0,abaixo da media,excelente,excelente,1
ALUNO-318,0.0,0.0,0.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,0
ALUNO-319,2.0,2.0,2.0,Ágata,Ametista,Ametista,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,0
ALUNO-321,6.0,7.0,7.0,Quartzo,Ametista,Ametista,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,0
ALUNO-323,1.0,1.0,1.0,Quartzo,Quartzo,Ágata,0.0,0.0,0.0,2016.0,abaixo da media,excelente,abaixo da media,1
ALUNO-324,6.0,7.0,7.0,Ametista,Topázio,Topázio,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,0
ALUNO-328,3.0,3.0,3.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,0
ALUNO-329,7.0,7.0,7.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2017.0,excelente,excelente,excelente,0
ALUNO-330,1.0,1.0,3.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2017.0,excelente,excelente,excelente,1
ALUNO-332,1.0,1.0,2.0,Ametista,Topázio,Topázio,0.0,1.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-335,0.0,0.0,0.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2020.0,excelente,excelente,abaixo da media,0
ALUNO-337,5.0,5.0,6.0,Topázio,Ametista,Ametista,1.0,0.0,1.0,2016.0,excelente,excelente,excelente,1
ALUNO-338,7.0,7.0,7.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2018.0,abaixo da media,excelente,excelente,0
ALUNO-339,3.0,3.0,3.0,Ametista,Ametista,Ametista,0.0,1.0,1.0,2018.0,excelente,excelente,excelente,0
ALUNO-340,3.0,3.0,5.0,Ametista,Ametista,Quartzo,0.0,1.0,0.0,2018.0,excelente,excelente,excelente,1
ALUNO-341,8.0,8.0,8.0,Topázio,Topázio,Topázio,0.0,0.0,0.0,2018.0,excelente,excelente,abaixo da media,0
ALUNO-342,2.0,2.0,3.0,Ametista,Ametista,Ágata,0.0,0.0,1.0,2016.0,excelente,abaixo da media,excelente,1
ALUNO-343,3.0,5.0,5.0,Ametista,Ametista,Ametista,1.0,0.0,0.0,2020.0,excelente,excelente,excelente,0
ALUNO-344,6.0,6.0,6.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2019.0,abaixo da media,abaixo da media,excelente,0
ALUNO-345,0.0,1.0,1.0,Topázio,Ágata,Quartzo,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-346,1.0,1.0,1.0,Ametista,Quartzo,Quartzo,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,0
ALUNO-348,0.0,1.0,1.0,Ametista,Ametista,Ágata,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-349,0.0,1.0,1.0,Topázio,Quartzo,Quartzo,1.0,0.0,0.0,2020.0,abaixo da media,excelente,excelente,0
ALUNO-353,2.0,2.0,2.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,0
ALUNO-354,4.0,4.0,4.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2016.0,abaixo da media,excelente,excelente,0
ALUNO-355,1.0,1.0,1.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2019.0,abaixo da media,excelente,excelente,0
ALUNO-359,2.0,2.0,3.0,Ametista,Ametista,Ametista,0.0,1.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-361,1.0,1.0,1.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2019.0,abaixo da media,excelente,excelente,0
