NOME,ANO_INGRESSO_2020,FASE_2020,PEDRA_2020,IAN_2020,IDA_2020,IEG_2020,IAA_2020,IPS_2020,IPP_2020,IPV_2020,INDE_2020,PONTO_VIRADA_2020,ANO_INGRESSO_2021,FASE_2021,PEDRA_2021,IAN_2021,IDA_2021,IEG_2021,IAA_2021,IPS_2021,IPP_2021,IPV_2021,INDE_2021,PONTO_VIRADA_2021,ANO_INGRESSO_2022,FASE_2022,PEDRA_2022,IAN_2022,IDA_2022,IEG_2022,IAA_2022,IPS_2022,IPP_2022,IPV_2022,INDE_2022,PONTO_VIRADA_2022
ALUNO-41,2020.0,1,Ametista,5.0,7.25,8.3,8.000020000000001,7.5,7.5,7.75,7.460002,0.0,2020.0,2.0,Ágata,5.0,6.8,5.0,0.0,7.5,7.5,8.8,6.1,0.0,,,,,,,,,,,,
ALUNO-43,2018.0,4,Ametista,10.0,7.0,7.5,7.5,7.5,7.96875,8.04167,7.805209,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-44,2020.0,1,Ágata,10.0,0.0,6.8,9.000020000000001,7.5,6.25,7.916665,6.218335,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-45,2019.0,1,Ágata,5.0,10.0,1.0,8.500020000000001,7.5,7.8125,7.75,6.631252,0.0,,,,,,,,,,,,,2022.0,2.0,Ágata,5.0,5.0,9.166666666666666,7.916679999999999,6.25,6.25,6.777773333333332,6.730556,0.0
ALUNO-46,2020.0,0,Ágata,10.0,0.0,10.0,9.50002,7.5,7.5,7.583335,6.966669,0.0,2020.0,0.0,Topázio,10.0,6.9,10.0,8.5,7.5,8.1,8.4,8.471,0.0,2020.0,1.0,Ametista,10.0,5.0,9.082456140350876,8.500020000000001,7.5,6.041666666666667,6.888883333333333,7.398436561403509,0.0
ALUNO-51,2019.0,0,Topázio,10.0,10.0,9.8,9.50002,7.5,8.125,7.416665,8.955835,0.0,2021.0,1.0,Ametista,10.0,5.4,9.2,9.0,7.5,7.7,8.6,8.051,0.0,2019.0,1.0,Ágata,5.0,5.083333333333334,9.203448275862067,9.000020000000001,7.5,5.625,6.91666,6.953190321839081,0.0
ALUNO-52,2018.0,2,Ametista,10.0,7.0,8.6,10.00002,6.25,7.916666666666668,8.22222,8.181112666666667,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-53,2016.0,5,Topázio,10.0,8.2,10.0,9.16668,7.5,0.0,0.0,8.696667999999999,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-55,2017.0,6,Ágata,5.0,6.333333333333333,9.0,0.0,7.5,8.28125,8.666667499999999,6.878125166666666,1.0,2017.0,7.0,Ametista,5.0,7.6,8.9,9.6,8.1,8.1,9.2,8.219,1.0,,,,,,,,,,,,
ALUNO-57,2018.0,6,Ametista,10.0,5.833333333333333,7.1,8.33334,6.25,7.5,7.5833325,7.311667166666667,0.0,2018.0,7.0,Ametista,10.0,6.0,6.9,8.3,6.3,7.7,7.0,7.213,0.0,,,,,,,,,,,,
ALUNO-59,2020.0,3,Ágata,10.0,6.0,3.6,8.75001,7.5,7.291666666666667,6.444439999999998,6.563055666666668,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-60,2016.0,5,Ametista,5.0,6.666666666666667,9.7,7.5,6.875,8.4375,8.124995,7.679582333333333,0.0,2016.0,6.0,Ametista,5.0,6.1,7.5,7.9,6.9,7.2,7.7,6.956,0.0,2016.0,7.0,Quartzo,5.0,4.044444444444444,4.129901960784314,8.33334,5.625,7.96875,7.277773333333332,5.783132947712418,0.0
ALUNO-61,2020.0,1,Quartzo,5.0,0.0,6.5,9.000020000000001,7.5,6.875,7.333333333333333,5.604168666666667,0.0,2020.0,1.0,Quartzo,5.0,0.0,1.3,0.0,5.6,6.9,5.1,3.017,0.0,2020.0,2.0,Ágata,5.0,2.5,7.787878787878788,10.00002,7.5,6.25,7.38889,6.410355757575758,0.0
ALUNO-62,2020.0,2,Ágata,5.0,3.5,6.9,7.916679999999999,7.5,7.083333333333333,7.5,6.330001333333334,0.0,2020.0,2.0,Ágata,5.0,3.1,4.6,8.5,7.5,8.1,6.2,5.704,0.0,,,,,,,,,,,,
ALUNO-68,2020.0,1,Quartzo,5.0,0.0,7.6,9.000020000000001,7.5,7.1875,8.0,5.988752,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-71,2019.0,0,Ametista,5.0,9.5,10.0,8.500020000000001,5.0,2.5,7.749995,7.550001,0.0,2019.0,0.0,#NULO!,5.0,3.6,0.0,7.4,5.0,0.0,0.0,,0.0,,,,,,,,,,,,
ALUNO-75,2019.0,3,Topázio,10.0,9.0,10.0,10.00002,10.0,9.375,9.75001,9.687504,1.0,2019.0,4.0,Topázio,10.0,8.5,9.2,10.0,7.5,8.8,9.7,9.108,1.0,2019.0,5.0,Topázio,10.0,8.5,9.660714285714286,10.00002,9.375,9.21875,9.75001,9.441521857142858,1.0
ALUNO-76,2020.0,0,Topázio,10.0,10.0,10.0,8.91668,10.0,7.5,6.58333,8.958334,0.0,2020.0,1.0,Topázio,10.0,7.6,10.0,10.0,7.5,7.5,9.2,8.869,1.0,2020.0,1.0,Topázio,10.0,7.166666666666666,9.419753086419751,10.00002,7.5,5.833333333333334,8.27778,8.306175283950617,0.0
ALUNO-78,2017.0,1,Ametista,5.0,5.5,9.0,9.50002,7.5,7.1875,7.666665,7.352085,0.0,2021.0,1.0,Ágata,5.0,2.6,9.2,8.9,7.5,7.3,5.6,6.339,0.0,2017.0,1.0,Ametista,5.0,7.666666666666666,9.480259870064968,6.91668,7.5,6.666666666666666,7.833336666666667,7.604387307346327,0.0
ALUNO-80,2019.0,2,Ágata,10.0,0.0,9.2,6.91668,7.5,7.291666666666667,7.444443333333333,6.499723333333334,0.0,,,,,,,,,,,,,2022.0,2.0,Ágata,5.0,4.25,9.296296296296296,6.83334,5.625,6.25,7.5,6.580093259259259,0.0
ALUNO-81,2019.0,4,Ametista,5.0,6.0,8.8,5.41667,7.5,8.125,9.11112,7.386391000000001,1.0,2019.0,5.0,Ágata,5.0,6.5,5.8,6.3,2.5,8.1,7.7,6.188,0.0,2019.0,6.0,Ametista,5.0,6.655555555555555,7.402950310559007,8.33334,8.125,7.5,8.833336666666666,7.474202506556246,1.0
ALUNO-82,2020.0,0,Ametista,5.0,8.5,10.0,8.500020000000001,7.5,6.875,7.333335,7.954169,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-83,2016.0,4,Ametista,10.0,5.333333333333333,9.4,9.16668,5.625,8.958333333333332,9.166676666666666,8.155003333333333,1.0,2016.0,5.0,Ágata,10.0,3.0,6.4,6.7,3.8,7.3,6.7,5.987,0.0,2016.0,5.0,Ametista,5.0,6.8,7.819047619047619,7.91667,7.5,6.875,7.750005,7.202977523809524,0.0
ALUNO-84,2020.0,0,Topázio,10.0,8.5,10.0,9.000020000000001,10.0,7.5,6.999995,8.750001000000001,0.0,2021.0,1.0,Ametista,10.0,6.8,10.0,3.5,7.5,7.5,8.3,7.867,0.0,2021.0,1.0,Ametista,5.0,6.25,8.838383838383837,9.000020000000001,7.5,6.458333333333334,8.444446666666666,7.502401434343434,1.0
ALUNO-85,2019.0,0,Ágata,5.0,10.0,9.9,9.50002,2.5,2.5,6.66666,7.263334,0.0,2019.0,0.0,Ágata,5.0,6.9,6.7,9.5,6.3,4.7,7.0,6.652,0.0,2019.0,1.0,Ametista,5.0,7.583333333333333,9.743589743589745,9.50002,5.0,5.625,8.833335,7.744553615384616,1.0
ALUNO-86,2019.0,6,Quartzo,5.0,3.6666666666666665,4.9,8.33334,7.5,7.5,5.7083325,5.688333833333334,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-87,2016.0,4,Ametista,10.0,6.666666666666667,9.2,8.33334,5.625,8.749999999999998,8.722226666666666,8.188612666666666,1.0,2016.0,5.0,Ametista,10.0,7.8,7.8,7.9,7.5,8.1,7.7,8.004,0.0,2016.0,5.0,Ágata,5.0,6.566666666666667,5.652169521654815,9.16668,5.625,7.96875,7.1250025,6.644810737664296,0.0
ALUNO-88,2018.0,2,Topázio,10.0,9.5,9.4,10.00002,7.5,5.9375,9.58334,9.04042,1.0,2018.0,2.0,Ametista,5.0,7.4,9.6,9.5,6.3,8.1,9.1,8.096,1.0,2018.0,3.0,Topázio,10.0,6.877777777777777,9.11793372319688,9.58335,5.625,8.90625,9.0833375,8.427269800194932,1.0
ALUNO-89,2019.0,0,Ametista,5.0,7.5,10.0,10.00002,7.5,6.875,7.5,7.937502,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-90,2019.0,3,Ágata,5.0,7.666666666666667,5.8,8.33334,7.5,7.96875,7.5000025,7.073542833333333,0.0,2019.0,4.0,Ágata,5.0,4.6,5.0,7.1,7.5,7.2,7.0,5.994,0.0,2019.0,5.0,Quartzo,5.0,3.555555555555556,3.004807692307692,5.833320000000001,7.5,6.71875,6.888886666666665,5.195056982905983,0.0
ALUNO-91,2018.0,2,Ágata,10.0,4.5,6.4,9.000020000000001,6.875,5.625,7.58333,6.846668,0.0,2018.0,2.0,Quartzo,10.0,2.2,0.0,9.5,7.5,5.6,2.5,4.2,0.0,2018.0,2.0,Ametista,5.0,7.916666666666667,7.918575677196368,8.500020000000001,7.5,6.458333333333334,7.500003333333334,7.412884468772608,0.0
ALUNO-94,2019.0,3,Ágata,10.0,4.0,6.0,7.08333,7.5,7.96875,7.5000025,6.7552085,0.0,2021.0,4.0,Ágata,10.0,4.6,3.6,7.5,7.5,7.3,5.2,5.923,0.0,,,,,,,,,,,,
ALUNO-95,2019.0,3,Ametista,5.0,6.666666666666667,8.2,9.58335,7.5,7.96875,6.791665,7.336876333333333,0.0,2019.0,4.0,Quartzo,5.0,1.3,5.6,8.3,7.5,6.9,4.1,4.957,0.0,,,,,,,,,,,,
ALUNO-96,2019.0,7,Ágata,5.0,3.0,6.1,9.16668,6.875,7.5,8.791664999999998,6.432500999999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-97,2018.0,2,Ametista,5.0,6.0,8.0,9.50002,7.5,8.4375,7.75,7.393752,0.0,2018.0,2.0,Ágata,5.0,5.8,5.8,8.0,7.5,7.5,6.0,6.317,0.0,2018.0,3.0,Ametista,10.0,7.0,8.467105263157894,7.91667,7.5,7.5,5.58333,7.501754052631579,0.0
ALUNO-100,2018.0,1,Ágata,5.0,7.5,6.5,9.000020000000001,4.375,6.875,7.916665,6.908335000000001,0.0,2018.0,1.0,Quartzo,5.0,0.0,0.0,8.5,3.8,6.3,3.8,3.117,0.0,2018.0,2.0,Ágata,5.0,1.666666666666666,8.475473801560758,9.000020000000001,5.0,6.25,7.444443333333333,6.042318760312152,0.0
ALUNO-102,2020.0,1,Ametista,10.0,7.0,8.5,8.000020000000001,7.5,7.5,7.833333333333333,7.966668666666667,0.0,2020.0,1.0,Ágata,5.0,4.8,7.5,6.3,7.5,7.9,7.8,6.704,0.0,2020.0,1.0,Ametista,5.0,7.666666666666666,8.941798941798943,7.333340000000001,7.5,6.041666666666667,7.833333333333333,7.475860455026456,0.0
ALUNO-103,2020.0,0,Topázio,10.0,8.5,10.0,9.000020000000001,7.5,7.8125,7.333335,8.597919000000001,0.0,2020.0,1.0,Ametista,10.0,6.2,8.8,9.5,6.3,7.9,8.6,8.076,0.0,2020.0,1.0,Ametista,5.0,6.0,8.903448275862068,9.50002,5.625,5.625,7.749995,7.105690655172413,0.0
ALUNO-105,2020.0,3,Topázio,10.0,8.0,9.6,9.16668,7.5,7.96875,7.66667,8.516877,0.0,2020.0,4.0,Quartzo,10.0,2.8,1.1,10.0,7.5,6.7,3.7,4.956,0.0,,,,,,,,,,,,
ALUNO-106,2020.0,0,Ametista,5.0,10.0,10.0,9.50002,7.5,7.5,7.5,8.450002,0.0,2020.0,1.0,Ametista,5.0,7.9,7.9,10.0,7.5,8.3,10.0,8.242,1.0,,,,,,,,,,,,
ALUNO-111,2020.0,3,Ágata,5.0,4.5,7.7,7.91667,7.5,7.96875,7.8750025,6.8535425,0.0,2020.0,4.0,Ametista,5.0,6.0,8.1,8.3,7.5,8.4,7.4,7.222,0.0,,,,,,,,,,,,
ALUNO-112,2018.0,3,Ágata,5.0,5.333333333333333,6.8,7.91667,4.375,7.708333333333334,7.611103333333333,6.448887666666667,0.0,2021.0,4.0,Ágata,5.0,6.2,3.1,9.2,6.9,7.7,6.9,6.098,0.0,,,,,,,,,,,,
ALUNO-113,2019.0,1,Ametista,5.0,7.5,8.8,8.500020000000001,7.5,7.5,7.916665,7.693335000000001,0.0,2019.0,2.0,Ágata,5.0,4.6,7.1,9.5,7.5,8.1,6.6,6.664,0.0,2019.0,3.0,Ágata,10.0,5.166666666666666,6.253787878787879,9.16668,5.625,5.625,5.4166575,6.40909040909091,0.0
ALUNO-115,2019.0,4,Quartzo,5.0,5.166666666666667,1.9,9.16668,6.875,7.916666666666667,5.111106666666666,5.331389333333334,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-117,2020.0,1,Ametista,5.0,9.5,8.9,8.000020000000001,7.5,7.1875,7.916665,8.032085,0.0,2020.0,2.0,Ametista,10.0,7.1,7.1,8.5,7.5,8.3,7.6,7.774,0.0,,,,,,,,,,,,
ALUNO-118,2019.0,1,Ametista,10.0,10.0,7.7,8.500020000000001,7.5,7.1875,7.416665,8.342085,0.0,2019.0,1.0,Topázio,10.0,6.9,9.6,8.5,7.5,7.5,8.2,8.299,0.0,2019.0,1.0,Topázio,5.0,9.416666666666668,8.38888888888889,10.00002,7.5,6.5625,9.33334,8.334031111111113,1.0
ALUNO-120,2019.0,0,Ametista,5.0,9.5,10.0,9.000020000000001,8.125,2.5,7.666665,7.895835000000001,0.0,2019.0,1.0,Ametista,5.0,6.1,8.3,8.5,7.5,7.5,6.8,7.096,0.0,,,,,,,,,,,,
ALUNO-125,2020.0,1,Ágata,5.0,5.0,9.0,9.000020000000001,7.5,7.708333333333334,7.333333333333333,7.187502,0.0,2020.0,2.0,Ágata,10.0,4.6,4.6,6.3,7.5,7.9,7.2,6.461,0.0,,,,,,,,,,,,
ALUNO-128,2019.0,0,Quartzo,5.0,5.5,10.0,7.416679999999999,5.625,2.5,3.500005,5.854169000000001,0.0,2019.0,0.0,Quartzo,5.0,4.0,6.7,7.9,4.4,2.5,5.6,5.229,0.0,2019.0,0.0,Ágata,5.0,6.083333333333333,9.45887445887446,9.000020000000001,5.625,5.0,7.166665,7.00427655844156,0.0
ALUNO-132,2017.0,4,Ametista,10.0,6.0,6.5,8.75001,7.5,8.28125,6.95833,7.344792,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-133,2019.0,0,Ametista,5.0,10.0,9.8,10.00002,7.5,7.1875,7.5,8.428752,0.0,2019.0,1.0,Ametista,5.0,7.1,9.6,9.5,7.5,7.7,8.4,7.99,0.0,2019.0,1.0,Ametista,5.0,7.166666666666666,9.116541353383456,8.000020000000001,6.875,5.3125,7.583335,7.292060604010025,0.0
ALUNO-135,2019.0,1,Ametista,10.0,6.5,8.4,9.000020000000001,7.5,7.1875,7.25,7.798752,0.0,2019.0,1.0,Ágata,5.0,3.6,4.2,9.5,6.3,6.9,7.3,5.788,0.0,2019.0,1.0,Quartzo,5.0,2.416666666666667,4.75108225108225,9.000020000000001,5.0,5.625,6.833326666666666,5.262717116883117,0.0
ALUNO-136,2018.0,5,Quartzo,5.0,2.0,4.0,7.5,4.375,6.666666666666667,5.444446666666667,4.643056,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-139,2020.0,5,Ágata,5.0,4.333333333333333,5.8,9.16668,7.5,8.125,5.499996666666667,6.105834000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-145,2019.0,7,Ametista,10.0,7.333333333333333,9.1,7.91667,7.5,7.5,8.8333375,8.345001166666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-146,2018.0,1,Ágata,10.0,0.0,7.2,10.00002,7.5,7.291666666666667,7.333333333333333,6.385835333333334,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-147,2019.0,2,Quartzo,5.0,0.0,8.0,9.000020000000001,7.5,7.291666666666667,7.277776666666666,5.934724000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-149,2019.0,6,Ágata,10.0,3.0,8.7,7.5,5.625,8.125,8.333335,7.131667,0.0,2019.0,7.0,Topázio,10.0,7.4,8.1,8.8,6.9,8.3,9.4,8.36,1.0,,,,,,,,,,,,
ALUNO-151,2019.0,1,Ametista,5.0,7.5,9.5,9.50002,7.5,9.166666666666666,8.611113333333334,8.238891333333333,0.0,2019.0,2.0,Topázio,5.0,9.1,9.6,9.5,8.1,10.0,10.0,9.004,1.0,2019.0,3.0,Topázio,10.0,7.900000000000001,8.436240842490841,8.33334,6.875,8.125,8.125,8.225582168498168,0.0
ALUNO-152,2019.0,3,Ametista,10.0,6.333333333333333,9.0,6.24999,7.5,7.96875,8.6250075,7.963542166666667,0.0,2019.0,3.0,Topázio,10.0,8.0,8.3,8.8,7.5,8.3,9.8,8.672,1.0,2019.0,4.0,Ametista,10.0,7.644444444444443,7.806870995242416,8.75001,5.0,7.03125,7.2499975,7.618388587937373,0.0
ALUNO-153,2017.0,4,Ametista,10.0,4.666666666666667,9.0,10.00002,7.5,8.59375,9.1250075,8.167711833333334,1.0,2017.0,4.0,Topázio,10.0,7.5,7.5,10.0,7.5,8.0,9.0,8.355,1.0,2017.0,5.0,Topázio,10.0,8.700000000000001,9.09722222222222,10.00002,8.125,8.75,9.2916725,9.105280944444443,1.0
ALUNO-154,2019.0,1,Quartzo,5.0,0.0,7.1,8.500020000000001,7.5,7.8125,7.916665,5.884585,0.0,2019.0,1.0,Quartzo,5.0,1.5,2.9,9.5,7.5,8.1,6.3,5.163,0.0,2019.0,1.0,Quartzo,5.0,3.75,3.797498797498797,3.49998,7.5,6.25,5.999996666666666,4.934497092833093,0.0
ALUNO-156,2018.0,2,Ágata,5.0,5.0,8.9,7.916679999999999,7.5,6.666666666666667,8.11111,7.110556666666668,0.0,2018.0,3.0,Ametista,10.0,7.3,7.8,7.5,6.3,8.3,8.8,7.981,0.0,2018.0,4.0,Ametista,10.0,6.599999999999999,8.159632034632034,7.91667,5.0,7.5,7.7083325,7.535259906926407,0.0
ALUNO-157,2019.0,1,Ágata,5.0,6.75,6.4,9.50002,7.5,7.916666666666668,7.777776666666667,7.177224000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-158,2018.0,3,Quartzo,5.0,5.0,5.9,9.16668,3.75,7.708333333333334,6.611103333333333,6.064722,0.0,2018.0,4.0,Ágata,5.0,4.5,6.1,8.3,6.9,6.9,6.1,6.056,0.0,2018.0,4.0,Quartzo,5.0,4.111111111111112,4.747740005092947,8.33334,5.0,7.1875,6.49999,5.623852223240812,0.0
ALUNO-160,2018.0,1,Quartzo,5.0,0.0,2.3,8.000020000000001,5.0,7.291666666666667,7.444443333333333,4.478057333333334,0.0,,,,,,,,,,,,,,,,,,,,,,,,
